ID,Sentence
27,ಮಾರ ಸೆಮಾನ ಸುಖಾಗೆಚ ಕ ?
28,ಮಾರ ಕಾನ ರಾತಡ ವೆರೆಚ ಕ ?
29,ತಂಪೆಮಾಯಿ ಭಾರ ಆವುನಿ ಸಿಲಾಗಚ
30,ಮನ ಸಿಲಾಗರೊಚ ಜೆರಸಾರು ಲಕ್ಕೆರ ವೆರಿಕೊಂತಿ
31,ವು ಹೊಟೊ ಆಯೊಜೆರ ಕಾರಣ ವೊರಾಡಿ ಬಚಿ
32,ವು ಸರಿಯಾಗಿ ಓದೊಕೊನಿ ಜೆರಕಾರಣ ಎಕ್ಜಾಮೆಮ ಪಾಸ ವಿಯೊಕೊನಿ
33,ಮಂಗಾಳೆರ ಮಾಕಿ ಮಂಗಾಳೆಸಾರು ಪೂಲೆನ ಖಾವಚ
34,ಮ ಬಟ್ಟೆ ದೂಸರ ಗಾಲಲೆನ ವೊರ ಗರೆನ ಗೊ
35,"ಮಟ್ಟಿ ಕರೆರ ಮೊದಲಜ, ನಾಯಕ ಡಾವ ಸೆ ಬಳನ ವಿಚಾರ ಕಿದೆಚ"
36,ರಮ್ಮತಿ ರಮ್ಮೆರ ಆಂಗ ಎಕ ಚೊರಾ ಎಕ ಗೊಲಾಕರ ಕಾಡೊಚ
37,ಸೆ ಜವಾಬ್ದಾರಿ ಮೊಟೊ ಭಿಯಾ ಪರ ಚ
38,ಪಕ್ಷಿ ಮಾಳಾಮಾಯಿ ಇಂಡಾ ಮೆಲ ಚ
39,ಪಕ್ಷಿ ಆಕಾಶೆಮಾಯಿ ಒಡರಿಚ
40,ಕಾಳ ಲಟ್ಟಾನ ಲಟ್ಟಾರ ಆಚೊ ಬಣ್ಣಾ ಕನ ನಂಬಚ
41,ಭಾಂಡೆಮಾಯಿ ಪಾನಿ ಉಕಾಲೊ
42,ಬಾಂಬೆಮಾಯಿ ಪಾಣಿರ ಹವಾಮಾನ ಚ ಆದರ ದೆಲ್ಲಿಮಾಯಿ ತಡಕೊ ಮಾರೊಚ
43,ಪುಸ್ತಕೆನ ಸಂದಕಾರ ತಳಮಾಯಿ ಮೆಲಮೆಲೆಚ
44,ಮನ ಲುಯೆನ ಸುಖೊ ಟಕಡಾ ದತೊ
45,ಮಿಟೊ ಅಂಬಾ ಲಾ
46,ಭಾಜಿ ಪಾಲೊ ಲ್ಯಾತೊ ಅತ್
47,ವಿಸನ ಪಾಂಚ ರಫಿಯಾರೊ ಸಕ್ಕರ ಲಾ
48,ವೊರ ಭಿಯಾ ಆಯೆರ ಆಂಗ ವೊರ ದೊಸ್ತ ಡರಗೊತೊ
49,ವೊರ ಭಿಯಾ ಗರೆನ ಆಯೆರಾಂಗ ವೊರ ದೊಸ್ತ ಡರಗೊತೊ
50,ಛಾಹಾ ಪಿವಾಳೆ ಚೊರಾನ ಬಲಾ
51,ಗ್ಲಾಸ್ ಫೊಡೊ ಜಕೊಣ ಚೊರಾನ ಬಲಾ
52,ಪರಮೆದಾಡ ಗ್ಲಾಸ್ ಪೊಡೊ ಜಕೊಣ ಚೊರಾನ ಬಲಾವ
53,ಪರಮೆದಾಡ ಹಾಂಡಿ ಕಿದೊ ಜಕೊಣ ಚೊರಾನ ಬಲಾ
54,ನಾನಕ್ಯಾ ಚೊರಾ ಅತರಿ ವಜ್ಜಿ ಪಾಡಚ ಕ ?
55,ಮ ಚೊರಾನ ಪಾಡು ಕಾಯಿ ?
56,ಹಮ್ಮ ಎಮಾಯಿ ಪೆರಬಹುದ ಕ ?
57,ತು ಮಾತ ಕನೆಸಿ ಆಯಿಚಿ ಕ ?
58,ಕುಕಡಿರ ಖೊಡೆಮಾಯಿ ಕತರಿ ಕುಕಡಿಚ ಗಣೆಚ ಕ ತು ?
59,ಸ್ವಲ್ಪ ಲಕಡಿ ಕಾಟೆಚಿ ಕ ತು ?
60,ರಮ್ಮತಿ ರಮ್ಮೆರ ಸಾಮಾನ ಲಾನ ದೆಚಿ ಕ ಮನ ?
61,ಮಾರ ವಾತ ಸಾಮಳೆಚಿ ಕ ತು ?
62,ತು ಸ್ವಲ್ಪ ಬ್ಯಾಗ ಪಕಡೆಚಿ ಕ ?
63,ಲಖಡಿರ ಫಳಿನ ತು ಪಾಡೆಚಿ ಕ ?
64,ಆಕಾಶೆನ ದೆಖನ ತು ಹವಾಮಾನ ಕೆಸಕೆಚಿ ಕ ?
65,ಮುಖ್ಯಸ್ಥ ಘಟನೆರೊ ಮೂಲ ಕಾರಣ ಕಾಯಿಚ ಕೆನ ಮಾಲಮ ಕರೆನ ಬಯಸೊಚ
66,ಮಾಯೆರ ಆವ ಬಾವ ದೆಖನ ಬೆಟಾ ಹಸೊಚ
67,ಬಾಳಾ ಮಾರ ಹತೆಳಿಮಾಯಿ ವೊರ ನಾನಕಿ ಆಂಗಳಿರ ಗುರ್ತ ಪಕಡಚ
68,ಚಚಾಬ್ರೊ ರಮತಿಮಾಯಿ ಗಣ ವಚಕಳರೆತೆ
69,ಸೆಮಾನ ಸಂದಕಾಮಾಯಿ ಉಪರ ಮೆಲಮೆಲೆಚ
70,ಆಜೊ ಬೆಸ್
71,ಎಕೆತಿ ದಸ್ಸೆ ತಕಾ ಗಣ
72,ಪಿಸಾನ ಗಣ
73,ಗಾವಡಿಯೊ ಕತರಿಚ ಗಣ
74,ಕಾಗಲಾ ಕಾಳೊ ಬಣ್ಣರಚ
75,ಧಯಿ ದುದೆತಿ ವಚ
76,ಬೊಟಿನ ನಾನಕಿ ಪಿಸ್ ವಜಿಂವ ಕಾಟ
77,ವು ಕೊ ಕ ವೊನನ ಕಾಯಿ ಚಾವ ಜಕೊಣ?
78,ತು ಕನಾಯಿ ಎಡೊ ರಮ್ಮೊ ಚಿ ಕ ?
79,ತು ಸಾದರಿ ಪರ ಸುತೊ ಚಿ ಕ?
80,ತು ಗಮಾಗಿ ಜಕೊಣ ಕುಕಡಿನ ದುಂಡೊ ಚಿ ಕ ?
81,ತು ಡಾಕ್ಟರೆನ ದಿಟೊ ಚಿ ಕ ಆಜ ?
82,ತು ನಿವ್ಜ ಪೆಪರ್ ದಿಟೊ ಚಿ ಕ ಆಜ ?
83,ತು ಟಿಕ್ ಸುತೊ ಕ ಆಜ ?
84,ಗಣೊ ನುಣ ಬೆಳಮತ
85,ಮಾರ ಲಾರ ಮತ ಆಜೊ
86,ಮಾಯಿ ಆಜೊ ಮತ
87,ಬಳದೆರ ಕನ ಆಜೊಮತ
88,ಮಾರ ಕನ ಆಜೊಮತ
89,ತಾರ ದೊಸ್ತೆಯಂದುತಿ ಲಡಾಯಿ ಮಾರಮತ
90,ವೊರ ಕನ ಜೊ ಮತ
91,ಅಂಗಾರೆರ ಕನ ಜೊಮತ
92,ಗಣೊ ದೂರ ಜೊಮತ
93,ವೊತ ಟಾಲೊ ಹುಬರಮತ
94,ಮನ ದೆಖನ ಹಸ್ಸ ಮತ
95,ತಾರ ಬಗ್ಗೆ ದುಸರ ಯೋಚನೆ ಕರೆನ ಮತ ಚೊಡ
96,ಮನ ದಖಲ ಮತ
97,ಜೊರ್ತಿನ ದಖಲ ಮತ
98,ವೊ ಬೆಂಚೆಪರ ಮತ ಬೆಸ
99,ಮಾರ ಕನ ಹುಬರ ಮತ
100,ನಂದಿಮಾಯಿ ಪೆರಮತ
101,ಹೊಲಸ ವಾತೆ ಕರ ಮತ
102,ಕಸಾನ ಅತಜ ರೆಡ ಮತ
103,ಭಾಟಾ ಮಾರಮತ
104,ಪುಸ್ತಕೆರ ಪೆಜೆನ ಫೆರಮತ
105,ರಾತಡ ಮಸಿತಿ ಲಕ್ ಮತ
106,ಘರೆಮಾಯಿ ಚಾವಳ ಚ ಕ ತೊನ
107,ತು ಪ್ರಾಣಿಯಂದೂನ ಎಡೊ ರಮ್ಮ ಚಿ ಕ
108,ತೊನ ವು ಚೊರಿ ಮಾಲಮ ಚ ಕ ?
109,ತು ಹೆಟ ಬೆಸೆನ ಬಯಸೆಚಿ ಕ ?
110,ವೊರ ಗೊಡೆನ ಗಾಯ ವೆಮೆಲಿಚ ಕನ ಡಾಕ್ಟರ್ ಕೊಚ
111,ಕುತರಾ ನಿಷ್ಠಾವಂತ ಪ್ರಾಣಿ ಚ
112,ಸ್ವಲ್ಪ ಪಾನಿ ಪಿ
113,ತಮಾರ ಆಂಕಿನ ಸುಖಾವ
114,ಬುಕೆಪರ ದೂಳ ಪಡಮೆಲಿಚ
115,ದೂಳೆತಿ ಮನ ಅರಾಮ ತಪ್ಪಚ
116,ಪ್ರತಿ ಬಾಳಾರ ಮಾಯೆಯಂದುತಿ ಪಾಂಚ ಮಿಟಾಯಿ ಮಳಿಚ
117,ಜಮಿ ಮಾತಾ ಎಕ ಸುಂದರ ಗ್ರಹ ಚ
118,"ಬೆಟಿ ಮಾಯೆಸಾರು ಖಾಣೊ ಕರಚ, ನಿಕಾಣ ಮಾ ಬೆಟಿ ಸಾರು ಖಾಣೊ ಕರಚ."
119,ತಾಂಡಮಾಯಿ ಸೆ ಚಚಿಯಾಬರ ಶಿನಾ ನ ಇಷ್ಟಾ ಪಡಚ
120,ಮಾಣಸೆತಿ ಮಾಣಸುರ ಆಂಕಿರ ಬಣ್ಣ ದೂಸರೊ ರಚ
121,ರೈತಾ ಖೆತೆಮಾಯಿರ ಕಸಾನ ಜಡ ಸಮೆತ ಬಾರ ಕಾಡೊಚ
122,ಗರೆಮಾಯಿ ಚಾವಜಕೊಣ ಸೆ ಸೆಮಾನುನ ಬಾಪ ಹಾಟೆತಿ ಲಾವಚ
123,ಬಾಪ ಹಾಟೆತಿ ಬಾಜಿ ಪಾಲೊ ಲಾವಚ
124,ಬಾಪು ದುದ ಪಿಯೆನ ಇಷ್ಟಾ ಪಡೆನಿ
125,ಬಾಪು ಸೆ ಕಗದ ಪತ್ರಾಯಂದುನ ಭಾರ ಫೆಕಾಯೆನ ಕಾಮಕರೆವಾಳೆನ ಕೊಚ
126,ಬಾಪು ಸೆ ಕಸಾನ ಭಾರ ಫೆಕಾಯೆನ ಮನ ಕೊಚ
127,ಸ್ವಲ್ಪ ಪಕ್ಷಿಯೊ ಧಿಂಯೆ ದಿಸಚ
128,ಮಾಚಳಿ ಸಮಂದ್ರೆಮಾಯಿ ರಚ
129,ಫುಲ ಪರಬಾತಿರ ಪೊರ ಅರಳಚ
130,ಬಾಗೆಮಾಯಿ ಫುಲ ಪುಟಚ
131,ಪುಲ ರಂಗ ರಂಗೆತಿ ಛ
132,ತಿನ ವರ್ಷೆತಿ ಮೋಹನ ಹೆಚ್ಚ ಮಾರ್ಕಸ ಲೆರೊ ಛ
133,ಜಂಗಲಜ ವನವಾಸಿಯಂದುನ ಘರಛ
134,ಚಾರ ಚಚಿಯಾಬರ ಎಡೊ ರಮ್ಮೆನ ಗೆಚ
135,ಹಣ್ಣ ಹಂಪಲೆಮಾಯಿ ಪೌಷ್ಟಿಕಾಂಶ ಛ
136,ಫಳ ಆರೋಗ್ಯ ನ ಆಚೊ ಛ
137,ಹಣ್ಣ ಹಂಫಲ ಮಾಣಸೆರ ಆರೋಗ್ಯನ ಆಚೊ ಛ
138,ಗಂಗಾ ನಂದಿರ ಪಾಣಿ ಸ್ವಚ್ಛ ಛ
139,ಸೆ ಡೊಳಾಯಂದುನ ಎಕಜಾಗ ಬೇಳನ ಬಾಂದ
140,ಛೊರಿಯೊ ಅಂದುರ ಹಾತೆಪರ ಮದರೆಂಗಿ ಲಾಗಾಡೆನ ಇಷ್ಟಾ ಪಡಚ
141,ಛೋರಿಯೋ ನಾಖೆಮಾಯಿ ಫುಲಿ ಗಾಲೆನ ಇಷ್ಟಾ ಪಡಚ
142,ಸೆ ಮಿಟಾಯಿ ಸ್ವಲ್ಪ ಮನ ದೊ
143,ಮನ ಎಕ ಲೊಟಿ ಪಾಣಿ ದೊ
144,ಪಿಯೆನ ತಾತೊ ಚಹಾ ದ
145,ಸೆಜ ಮಿಟಾಯಿಮಾಯಿ ಸ್ವಲ್ಪ ಮನ ದೊ
146,ಮನ ಸ್ವಲ್ಪ ಮಾಹಿತಿ ದೊ ತೊ
147,ಮನ ಸ್ವಲ್ಪ ಪಿಸಾ ದೊ
148,ಮಾರ ಬೆಟಿಸಾರು ಸ್ವಲ್ಪ ಪಿಸಾ ದೊ
149,ಮನ ಲೆಟರ ದ
150,ಗಾವಡಿನ ಚಾರೊ ಗಾಲ
151,ಓ ಛೋರಿನ ಪುಲ ದ
152,ಜಾನ ಎಡೊ ರಮ್ಮ
153,ಜಾನ ದೆಖ
154,ಜಾನ ಸ್ವಲ್ಪ ನಿಂದ ಕರ
155,ತಳಾಯೆಮ ಜಾನ ಖುದ
156,ಅಂಗೊಳಿ ಕರ
157,ಆಚ ಮಾಬಾಪ ಆಚ ರಿತಿ ತಿ ಬೆಟಬೆಟಾಯೆಂದುನ ಬೆಳಸಮೆಲಛ
158,ಪಾಣಿರದಾಡೊ ಖಡ ಗಣೊ ಆಚೊ ಹುಗಚ
159,ಖಡೆರೊ ರಂಗ ಹರೊಛ
160,ಖಡೆನ ಘಡಿ ಘಡಿ ಕಾಟತೆರೆನು
161,ಹನುಮಾನ ವೊರ ಪುಚಡಿತ ಸಾರಿ ಲಂಕಾನ ಬಾಳೊ
162,ತು ಖಾದೊಚಿ ಕ ?
163,ವು ವೊರ ಸ್ವಂತ ಭಾಯಿನ ಮೊಸಾ ಕರನ ವು ಕಾಯಿ ಆಚೊ ರೆನಿ
164,ಬಾಪು ಬಾಟಿ ಖಾಲೆನ ಭಾರ ಹಿಂಡೆನ ಗೊಚ
165,ವು ವೊನ ಗಿದಗಾಯೆನ ಕೊ
166,ಬಡಕೆರ ಖುಟಗಿಜೆರ ಪಚ ಜೊರ್ತಿ ಉಸರ ಲಿದೊ
167,ವು ಉಸ್ಕೆನ ಚಾಣೊ ಛ
168,ವು ಹೊಟೊ ಹೊಟೊ ಪರನ ಆಯೊ
169,ವು ನಾರಳೆರ ಜಾಡ ಚಡಚ
170,ವೊನ ಪಾನಿಮ ಪೆರೆರ ಆಯಿನಿ
171,ವು ರೊಡ ದಾಟರೊಛ
172,ವೊರ ಆಂಗಳಿ ಕತರಾಯಿತೊಬಿ ಲೊಯಿ ರಡೊ ಕೊನಿ
173,ವು ವೊರ ಸ್ವಂತ ಭಾಯಿನ ಮೊಸಾ ಕರನ ವು ಕಾಯಿ ಆಚೊ ರೆನಿ
174,ವು ಲಬಾಡಿ ಕೆನಿ
175,ವು ಜಮಿ ಪರ ಪಾನೆರೊ ಚಿತ್ರಾ ಕಾಡೊ
176,ವು ನಂದಿಮಾಯಿ ಖುದೊ
177,ವು ಮನ ಗಣ ಆಚೊ ಸಲಹೆ ದಿನೊ
178,ವು ಮನ ನುಣ ದಿನೊ ಆದರ ಸಕ್ಕರ ದಿನೊ ಕೊನಿ
179,ವು ಬೆಸ ಬೆಸನ ಸುಸ್ತವೆಗೊಛ
180,ವು ಅಂದಾರೆತಿ ಚಮಕಚ
181,ವೊರ ಮುಂಡೊ ಗೊಲಾಕರಛ
182,ವೊನ ದಿ ಬಾಯಿಪಣಾಛ
183,ವೊರ ದಾಗೆನ ವು ಬುರರೊಛ
184,ವು ಮನ ಮಾರನ ಬಡಕಗೊ
185,ವು ಅಪಿಸ್ ಮಾಯಿ ಮೊಟೊ ಜಾಗಾಪರ ಛ
186,ವು ಗಣೊ ಆಚೊ ಮಾಣಸ
187,ವು ಮಾಣಸ ಗಣೊ ಆಚೊ ಸಿಖಮೆಲೊಛ
188,ವು ಮೊಸಳಿತಿ ಚಮಕಛ
189,ವು ಗಣೊ ವರ್ಷೆರ ಕಾಮ ಕರರೊಚ
190,ವು ವೊರ ಗೊಣ್ಣಿಪರ ಡಿಪೆಂಡ ವೆರೊಚ
191,ವು ಲತಾರ ಧಣಿ ಛ
192,ವು ವೊರ ಬೆಟಾನ ಜಾಡ ಕಾಟೆನ ಕೆರೊಛ
193,ವು ಉಸಕೆಮಾಯಿ ರಮ್ಮರೊಚ
194,ವು ಚಂಡಿಮಾಯಿ ಹುಬೊಚ
195,ವು ತಾಂಡೆಮಾಯಿಜ ಸಾವಕಾರಚ
196,ವೊನ  ಲಾಂಬ ಜಾಡ ಚಡೆರ ರುಡಿ ವೆಮೆಲಿಚ
197,ವೊನ ದಡಿಯಾ ಚಡೆನ ಉಪಯೋಗ ಕರಚ
198,ವು ವೊರಾಪೆನಾಯಿ ದಿಸಾವಚ
199,ವೊನ ಸೈಕಲ್ ಮಾರೆನ ಘಣ ಇಷ್ಟಾ
200,ವು ರಾತಡೊ ಜಿಗಲಾ ಪೆರಮೆಲೊಛ
201,ವು ಹೆಟ ಬೆಸೊಚ
202,ವು ವೊರ ಕಾಮ ಖುಟಾಡೆನ ಘಣ ತನಕಾ ರಾತ ಎಚ್ಚರವೆತೊ
203,ವು ವೊರ ನಕ್ಕೆತಿ ಜೀವೆನ ಖಜಾರೊಚ
204,"ವು ಚೊರಾ, ಚೊರಿರ ಹಾತ ಗಟ್ಟೊ ಪಕಡೊ."
205,ವು ಹಣ್ಣೆಯಂದುನ ದೊಯೆನ ಚಾಲು ಕಿದೊ
206,ಮ ವೊನ ಮಾರನಾಕುಚು ಕೆತಾನಿ ವು ಸಮಜಮೆಲೊತೊ
207,ವು ಕುತರಾನ ಭಾಟಾ ಮಾರೊ
208,ವು ಪಾಣಿರ ಖಾಡೆಮಾಯಿಭಾಟಾ ಪೆಕೊಚ
209,ವು ಜಲ್ದಿಜ ಗಾಮ ಚೊಡನ ಜಾಮಾಚಾ ಕನ ಕೊ ಮನ
210,"ವು ಸಾವಕಾಸೆತಿ, ಎಚ್ಚರೆತಿ ಖೊಜ ಮೆಲರೆಚ"
211,ವೊನ ಎ ಘಟನೆರ ಕಾರಣ ಮಾಲಮವೆರ ಚಾರಿತಿ
212,ವು ಗಣೊ ಆಚೊ ಧಣಿ
213,ವು ಹಾಸಗಿಮಾಯಿ ಸುತೊತೊ
214,ವು ಸಾವಕಾಸ ಚಾಲರೊತೊ
215,ವು ವೊರ ಆಂಕಿರ ಆಂಸು ಲುಯೊಚ
216,ವು ವೊರ ಕಾಮ ಖುಟಾಡೆನ ಗಣ ತನಕಾ ರಾತ ಎಚ್ಚರವೆತೊ
217,ವೊರ ಪುಟೊ ಗೊಡಿನ ಲಾಗರೊಚ
218,ವೊರ ಭಾಯಿ ಗಣೊ ಲಾಂಬೊ
219,ಓ ಛೋರಿರ ಬಾಪ ಘಣೊ ಚಮಕ
220,ವೊರ ಲಟ್ಟಾ ಸುಕೆಚ
221,ಒರ ಲಟ್ಟಾಮಾಯಿ ಜುಂವೆ ವೆರಿಚ
222,ಒರ ರಂಗ ಆಚೊ ಛೆನಿ
223,ಒರ ತ್ವಚ ಘಣೊ ನರಮೊ ಚ
224,ಒರೊ ರಂಗ ಘಣೊ ನಾಜುಕ ಛ
225,ಒರ ಕಡ ಗಣ ನಾನಕಿಚ
226,ಒರೊ ಬೆಟಾ ಸಾರಿರಾತ ಖಾಂಸೊಛ
227,ಒರ ಹಸಣಿ ನಾನಕಿಚ ಆದ್ರ ಜೊರ್ತಿನ ಸಾಮಳಚ
228,ವೊರ ಹಾಂಡಿ ಗಣ ಬೊಜಾಚ
229,ಬದನಾನ ಲೂಜ ಪಕಡೊ
230,ಮ ಪಾಣಿ ಬರುಜನಾ ಎ ಹಾಂಡಿನ ಪಕಡ
231,ಮಾರಸಾರು ಈ ಬದನಾನ ಪಕಡ
232,ಪಾಣಿಮ ಪೆರಜನಾ ಉಸರ ಪಕಡನ ಪೆರನು
233,ಗೊಡಿ ಗಾಡಿನ ಕೆಂಚರಿಚ
234,ಅತರಿ ಉಂಚ ವಾಡೆನ ತು ಕಿಂವು ವಚಕಳೆಚಿ ?
235,ಗಾವಡಿನ ತು ಕಿಂವ ಬಾಂದೆಚಿ ?
236,ತು ಕಿಂವ ಚಿ ?
237,ತಲವಾಡಿ ಕತರಾ ಉಂಡ ಚ ?
238,ತು ವೆಂಗಣೆರ ನಂಗಾವಣ ಕಿಂವ ಕಿದಿ ?
239,ತು ನಂದಿನ ಕಿಂವ ದಾಟೊ ?
240,ತು ಪಾಣಿಮಾಯಿ ಪೆರೆರ ಕಿಂವ ಸಿಖೊ?
241,ತು ಏ ಹಾಂಡಿನ ಕಿಂವ ಕಿದೊ ?
242,ತು ಅತರಿ ಆಚ ಬಾಂಡೆನ ಕಿಂವು ಕಿದೊ ?
243,ತು ಅತ್ತಿ ಹಾಟೆನ ಕಿಂವ ಜಾನ ಪುಚೆಚಿ ?
244,ಅತೆತಿ ತು ದೂಸರ ಗಾಮೆಯಂದನು ಜಾನ ಕಿಂವ ಪುಚೆಚಿ ?
245,ತು ಕತರಾ ದೂರ ಜಾರೊಚಿ ?
246,ಅತ್ತಿ ಶಾಲಿ ಕತರಿ ದೂರಚ ?
247,ತಮಾರ ಆರೋಗ್ಯ ಕಿಂವ ಚ ?
248,ತಾರಧಾಯಿ ಸೇಬು ಹಣ್ಣ ಕತರಾಚ ?
249,ತೊನ ಕತರಾ ಮಳಿ ?
250,ತಾರ ಸಿಟಿನ ಗೊಜಕೊಣ ಪ್ರವಾಸ ಕಿಂವ ವೆತ್ತಿ ?
251,ಅತರಿ ಉಂಚ ವಾಡೆನ ತು ಕಿಂವು ವಚಕಳೆಚಿ ?
252,ಧಣಿ ಮಸಾಲಾ ಚ ಜಕೊಣ ಖಾಣೆನ ಇಷ್ಟಾ ಪಡೆನಿ
253,ಧಣಿ ಗಣೊ ಆಚೊ ಚ ?
254,ಮ ರೈತಾ ಚು
255,"ಮನ ಎಕ ಹಪತಿ ಕುತರಾ ಕಾಟಮೆಲೊಚ, ಜೆರಸಾರು ಕುತರಾತಿ ಚಮಕಣಿ ಲಗಚ."
256,ಮ ಕನಾಯಿಬಿ ಲಡಾಯಿ ಮಾರೆನ ತಯಾರಚು
257,"ಮ ತಂಪ ಚು,ಆಜಿ ಬಿನೊ ಚು "
258,ಕಾಲೆರ ರಾತೆತಿ ಮನ ದಾಂತೆರ ಬ್ಯಾನಿ ಚ ?
259,ಮನ ಅವಸರ ಚ ಸ್ಟೇಶನೆನ ಪುಚೆನ 
260,ಮನ ಅವಸರ ಚ ಪಟ್ಟಣೆನ ಜಾಯೆನ
261,ಮ ಸ್ಟೇಶನೆರ ಕನ ಚು
262,ಫಳ ತೊಡೆನ ಮ ಘಣೊ ಗಿಡ್ಡಾ ಛು
263,ಜಾಡೆತಿ ಫಳ ತೊಡೆನ ಮ ಘಣೊ ಗಿಡ್ಡಾ ಛು
264,ಮನ ವೊರ ಕೆಟ್ಟ ನಡವಳಿಕೆತಿ ಗಣ ರಿಸ ಆವಚ
265,ಮನ ಗುಂಗಡಿಮಾಯಿ ಗರಮ ಲಾಗಚ
266,ಮ ವೊನ ಲಾಂಬ ಲಕಡಿಯಂದುನ ಗೊಳಾ ಕರ ಕನ ಕೊತೊ
267,ಮ ಮಾರ ದಾಂತೆತಿ ಮಾರಜ ಜಿಬ ಕಾಟಲಿದೊ
268,ಮ ದಸ್ಸ ರಪಿಯಾಮ ಸೆಜ ಕರಿದಿ ಕರಲಿದೊ
269,ಮ ಆಜ ರಾತ ಲಂಗಾವಣೆನ ಸ್ವಲ್ಪ ಬೊಟಿ ಲಿದೊಛು
270,ಮಾರ ಬೆಟಾಸಾರು ಮ ವೊ ಮಿಂಡಿರ ಪಿಲಾ ಲಿದೊಛು
271,ಮ ಹಾಂಡಿನ ಪೊಡೊ
272,ಮನ ವೊ ಘಟನೆರ ಬಗ್ಗೆ ರಾತ ಮಾಲಮ ವಿ
273,ಮ ಪರಮೆದಾಡ ವಾಪಸ ಆಬಹುದು
274,"ಮ ಲಡಾಯಿ ಕರಸಕುಚು, ಏಡೊ ಬಿ ಮಾರ ಸಕುಚು."
275,ಮ ವೊನ ಬೆಟಾ ದೆಸಕುಚು
276,ವಾಳೆಮಾಯಿ ಪಾಲೊ ಹಾಲಜಕೊಣ ಮ ಸಾಮಳುಚು
277,ಮನ ಜಾಡೆಪರ ವಾಳ ಮಾರಜಕೊಣ ಸಾಮಳಚ
278,ಮನ ಅತರಾ ದೂರೆತಿ ತಾರ ವಾತೆ ಸಾಮಳೆನಿ
279,ಅತರಿ ಬೊಜಾ ಬ್ಯಾಗೆನ ಮನ ಪಕಡೆರ ವೆನಿ
280,ಮನ ವೊರ ರೊವಣೊ ಗಾವಣೊ ಮುಂಡೊ ದೆಖೆರ ವೆನಿ
281,ಮನ ಠೀಕ ದೆಕೆರ ವೆರಿಕೊಂತಿ
282,"ವೊತ ಕಾಯಿ ಲಕಮೆಲೆಚ, ಮನ ದಿಸರಿ ಕೊಂತಿ."
283,ಮನ ಅಬ್ ಗಿದಗಾಯೆರ ವೆನಿ
284,ಮನ ವೊರ ಹೊಲಸ ಚಟಾನ ಸಾಮಳೆರ ವೆರಿಕೊಂತಿ
